Player,MP,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,DRB,BLK,TOV,PS/G,% FG 3PT,%PTS 2PT MR,%PTS PITP,FGM %UAST,Drive FGA,Drive FG%,Drive PASS,Drive PASS%,SCREEN assists,DEFLECTIONS,LOOSE BALLS recovered,CHARGES drawn,C&S 3PA,C&S 3P%,C&S EFG%,AST PTS created,TOUCHES,TIME OF Pos,ELBOW touches,POST touches,PTS PER Elbow,PTS PER post,AVG SPEED OFF,AVG SPEED DEF
Alex Abrines,15.5,3.6,0.381,1.4,0.426,0.531,0.7,0.898,0.3,1,0.1,0.5,6,72.4,4.9,14.8,14.2,0.5,38.7,0.1,20.4,0.2,0.9,0.3,0.01,3.2,40.6,59.3,1.4,18.5,0.5,0.5,0.2,0.323,0.545,4.66,3.96
Steven Adams,29.9,0,0,8.2,0.572,0.571,3.2,0.611,3.5,4.2,1,1.8,11.3,0.7,17.3,82,33.2,0,100,0,0,3.4,1.9,1,0,0,0,42.2,2.8,35.7,0.9,2.1,6.6,0.229,0.835,4.3,3.77
Arron Afflalo,25.9,2.5,0.411,4.4,0.457,0.514,1.5,0.892,0.1,1.9,0.1,0.7,8.4,23.3,16.1,24.5,34.1,0.7,37.8,0.3,27.6,0.3,0.6,0.3,0,2.1,43,58.5,3.2,33.6,1.2,0.9,1.1,0.357,0.806,4.28,3.78
LaMarcus Aldridge,32.4,0.8,0.411,13.8,0.48,0.488,3.8,0.812,2.4,4.9,1.2,1.4,17.3,37.8,17.7,38.9,40.6,0.3,33.3,0.1,18.4,2.6,1.3,0.7,0,0.7,42.9,46.3,4.9,53.9,1.7,5.5,4,0.264,0.785,4.15,3.84
Tony Allen,27,0.8,0.278,7.6,0.479,0.473,1.8,0.615,2.3,3.2,0.4,1.4,9.1,3.7,12.4,76.8,42.3,2,42.6,0.6,21,0.6,3.3,1.2,0,0.7,30,41.6,3.1,35.3,1.5,0.7,2.9,0.481,0.749,4.09,4.03
Al-Farouq Aminu,29.1,3.5,0.33,4.2,0.445,0.468,2.2,0.706,1.3,6.1,0.7,1.5,8.7,4.5,18,38,33.3,1.7,37.7,1,26.9,1.8,1.7,0.8,0.02,3.3,33.8,51.4,4.1,42.5,1.1,0.9,1.1,0.286,0.779,4.52,3.77
Justin Anderson,16.4,2.6,0.299,3.3,0.522,0.49,1.7,0.791,0.9,2.3,0.3,0.9,7.1,1.9,19.2,46.2,33.3,1.3,52.6,0.6,25,0.1,1,0.5,0.07,2.1,30.8,44.6,2.2,29.2,0.9,0.7,0.7,0.551,0.556,4.68,3.85
Ryan Anderson,29.4,7,0.403,3.7,0.446,0.55,2.1,0.86,1.6,3,0.2,0.8,13.6,6.5,13.2,17.8,24.5,0.6,43.2,0.2,20.8,1.1,0.9,0.6,0.19,5.7,42.7,64,2.6,41.5,1,0.3,1.1,0.08,0.823,4.4,3.54
Giannis Antetokounmpo,35.6,2.3,0.272,13.5,0.563,0.541,7.7,0.77,1.8,7,1.9,2.9,22.9,9.3,25.7,57,55.8,4.1,51.1,2.7,30.7,1.1,2.7,1.4,0.03,1.3,28.8,40.8,13.5,81.8,5,3.9,3.7,0.265,1.064,4.46,3.6
Carmelo Anthony,34.3,5.7,0.359,13.1,0.466,0.488,4.9,0.833,0.8,5.1,0.5,2.1,22.4,36.4,18.3,18,57.5,0.9,48.4,0.2,13.9,0.9,1.8,0.7,0,3.5,42.6,58.6,6.8,60.4,2.8,4.7,1.5,0.637,0.718,4.05,3.54
